est_diameter_min,relative_velocity,miss_distance,absolute_magnitude
0.0242412481,43303.9990941767,48141169.23125782,25.2
0.0302381333,21770.7902110933,56466433.83199984,24.72
0.2016299194,109358.1230288969,64350512.99641538,20.6
0.160160338,78494.6097559962,55957795.942792885,21.1
0.0069912523,19077.7494856685,38346475.06450471,27.9
0.2538370294,40748.3975579249,66974734.07350789,20.1
0.0201629919,32051.9188982971,2608715.48226382,25.6
0.0483676488,78085.5094156608,42538531.216413885,23.7
0.0211132445,26345.2847326885,17313268.440009665,25.5
0.0127219879,15495.621906104,23405351.625489738,26.6
0.3841978911,6132.7221562537,27209902.888839647,19.2
0.2210828104,58680.6269163739,54101408.94162778,20.4
0.1283970296,92016.6195975901,47763989.69240445,21.58
0.0048367649,30022.5580269366,860275.910524791,28.7
0.1019893859,68203.2631753343,44428808.1190488,22.08
2.0349557812,122479.7201870364,28336216.306117024,15.58
0.0366906138,49876.0269600038,49926279.41471442,24.3
0.1684825693,45140.3124080897,18732180.73513429,20.99
0.0667659413,37248.8884522679,6723254.99954808,23.0
0.0483676488,34410.1137809241,8573015.952016002,23.7
0.0492668706,21250.4578988311,44348193.04326001,23.66
0.1102947845,63725.1534862229,13695884.21798348,21.91
0.0152951935,50496.3284737784,58774572.60640611,26.2
0.1010543415,61298.5295363576,30289521.080230344,22.1
0.3195618867,9275.4618979125,63691562.51842472,19.6
0.0278326768,68610.4406606974,59224933.6729684,24.9
0.0133215567,35419.7566959034,24325411.73671688,26.5
0.4597851883,71253.9373164174,44128845.76476399,18.81
0.1338304618,43089.3853394555,47266681.582922176,21.49
0.2968622513,107241.8979905024,40876796.93951008,19.76
0.1272198785,51878.7668275272,17007399.498063855,21.6
1.6693791177,80530.5536743572,56775650.370362,16.01
0.1272198785,50282.8431928589,41218542.14344356,21.6
0.0278326768,11070.3745397138,11285851.536840037,24.9
0.0483676488,34870.5133916873,34786931.00390043,23.7
0.3520099801,44630.0614446635,59284134.11286243,19.39
0.0278326768,20035.2853493855,19074773.41100132,24.9
0.2111324448,51437.504103489,65149370.31958849,20.5
0.3346223745,70256.0767001684,48174359.53828856,19.5
0.0555334912,40072.0596466882,49355612.668604925,23.4
0.5352479056,44270.4880306786,43819582.5369066,18.48
0.0411675457,37326.8253603773,53876184.3816935,24.05
0.0160160338,30987.8680546128,20841643.963916883,26.1
0.0921626549,61305.0901532521,50932661.76047086,22.3
0.0667659413,42090.4805602,13942920.371760568,23.0
0.004411182,17548.2381104169,34750383.91514412,28.9
0.0192555078,31849.3561726194,5588370.10303289,25.7
0.1010543415,32896.409847659,8236185.112910964,22.1
0.0421264611,20459.1503518667,35758431.95838407,24.0
0.0608912622,50614.6234053949,20917382.478259,23.2
0.1756123185,66481.9567711816,70860131.16736108,20.9
0.008405334,11218.6517364034,7359216.18942414,27.5
